FieldTitle,FieldType,Options
服務日期,DateTime,
個案來源,Choice,自行求助; 自行求助-網絡諮詢; 接受轉介-司法系統; 接受轉介-社會處; 接受轉介-民間團體; 接受轉介-司法系統
個案姓名,Text,
個案身分,Choice,聲請人; 相對人; 關係人; 民眾; 聲請人-未成年; 相對人-未成年; 關係人-未成年; 民眾-未成年
個案國籍,Choice,本國籍; 本國籍原住民; 本國籍-原籍; 外國籍; 大陸籍; 外國籍-印尼; 外國籍-越南; 外國籍-緬甸; 本國籍-原籍大陸; 本國籍-原籍中國; 本國籍-原籍印尼; 本國籍-原籍菲律賓; 本國籍-原籍越南
暴力類型,Choice,親密關係暴力; 手足間暴力; 直系血親(尊/卑)間暴力; 其他四等親暴力; 其他; 其他(同事間); 其他-五等親暴力; 其他母同居人; 其他-同住家庭成員; 其他-男友父; 其他-曾同居男友父
個案性別,Choice,男; 女
有無在案,Boolean,
在案社工,Text,
接受轉介項目,Choice,陪同出庭; 保護令會談; 資源轉介; 撤回/撤銷保護令原因; 其他; 其他-抗告; 其他-查詢
轉案股別/單位,Choice,恩; 馨; 真; 誠; 涵; 家; 保護科; 民團-; 民團-大心; 民團-台中家防中心; 民團-徐月蘭; 民團-泰安婦幼; 民團-現代婦女基金會; 民團-感恩協會; 民團-嘉義服務處; 民團-嘉義家暴事件服務處; 民團-勵馨; 民團-勵馨基金會; 民團-勵馨親暴; 民團-勵馨總會; 民團-謙德; 民團-警察; 民團-蘭馨婦幼中心
服務社工,Choice,劉珈佑; 張雨涵; 范美鈴; 湛盈涵; 蔡均苹; 彭芮琪; 賴宛謙
服務方式,Choice,面談; 電談; 書面; 電談-聯繫未果
服務主題,Choice,暫時; 通常; 變更; 延長; 撤銷; 撤回; 抗告; 違反; 追加; 其他; 其他-刑事; 其他-妨害秘密; 其他-恐嚇; 其他-責付; 其他-債務; 其他-傷害; 其他-傷害、恐嚇; 其他-傷害案; 其他-補發; 其他-跟騷; 其他-緊保; 其他-醫療費
陪同出庭,MultiChoice,出庭前評估; 庭前準備; 庭後協助; 其他; 陪同出庭
會談處遇,MultiChoice,人身安全; 初層心諮; 情緒支持; 澄清迷思; 充權; 社福資訊; 性別概念; 其他
法律服務,MultiChoice,程序說明; 查詢; 撰狀; 聲請保護令; 法律知識; 提供律師; 書狀說明; 其他
聯繫,MultiChoice,民團-相對人服務; 民團-家暴後追單位; 民團-目睹服務; 民團-家事商談; 民團-監督會面; 民團-家處; 民間-經扶; 政府-家防中心; 政府-社福中心; 政府-警政; 政府-心衛相關單位; 政府-地檢署; 政府-戶政/地政; 政府-身障; 政府-公所; 法扶; 醫療; 教育; 就業; 原住民; 新住民; 法院; 律師; 其他
轉介,MultiChoice,民團-相對人服務; 民團-家事商談服務; 民團-團體課程; 民團-社區型會面服務; 政府-自殺意念; 政府-精神疾患; 法扶; 醫療; 教育; 就業; 原住民; 新住民; 心理諮商; 兒少團體; 其他服務處; 其他單位
通報,MultiChoice,家庭暴力; 性侵害; 兒少保護; 社福中心; 早期療育; 藥酒癮; 自殺防治; 精障個案
服務項目,Choice,陪同出庭; 諮詢服務
建立時間,DateTime,
修改時間,DateTime,
建立者,User,
修改者,User,
