欄位名稱	選項內容	排序	狀態
個案來源	自行求助	1	啟用
個案來源	自行求助-網絡諮詢	2	啟用
個案來源	接受轉介-司法系統	3	啟用
個案來源	接受轉介-社會處	4	啟用
個案來源	接受轉介-民間團體	5	啟用
個案身分	聲請人	1	啟用
個案身分	相對人	2	啟用
個案身分	關係人	3	啟用
個案身分	民眾	4	啟用
個案身分	聲請人-未成年	5	啟用
個案身分	相對人-未成年	6	啟用
個案身分	關係人-未成年	7	啟用
個案身分	民眾-未成年	8	啟用
個案國籍	本國籍	1	啟用
個案國籍	本國籍原住民	2	啟用
個案國籍	本國籍-原籍	3	啟用
個案國籍	外國籍	4	啟用
個案國籍	大陸籍	5	啟用
個案國籍	外國籍-印尼	6	啟用
個案國籍	外國籍-越南	7	啟用
個案國籍	外國籍-緬甸	8	啟用
個案國籍	本國籍-原籍大陸	9	啟用
個案國籍	本國籍-原籍中國	10	啟用
個案國籍	本國籍-原籍印尼	11	啟用
個案國籍	本國籍-原籍菲律賓	12	啟用
個案國籍	本國籍-原籍越南	13	啟用
暴力類型	親密關係暴力	1	啟用
暴力類型	手足間暴力	2	啟用
暴力類型	直系血親(尊/卑)間暴力	3	啟用
暴力類型	其他四等親暴力	4	啟用
暴力類型	其他	5	啟用
暴力類型	其他(同事間)	6	啟用
暴力類型	其他-五等親暴力	7	啟用
暴力類型	其他母同居人	8	啟用
暴力類型	其他-同住家庭成員	9	啟用
暴力類型	其他-男友父	10	啟用
暴力類型	其他-曾同居男友父	11	啟用
個案性別	男	1	啟用
個案性別	女	2	啟用
接受轉介項目	陪同出庭	1	啟用
接受轉介項目	保護令會談	2	啟用
接受轉介項目	資源轉介	3	啟用
接受轉介項目	撤回/撤銷保護令原因	4	啟用
接受轉介項目	其他	5	啟用
接受轉介項目	其他-抗告	6	啟用
接受轉介項目	其他-查詢	7	啟用
轉案股別/單位	恩	1	啟用
轉案股別/單位	馨	2	啟用
轉案股別/單位	真	3	啟用
轉案股別/單位	誠	4	啟用
轉案股別/單位	涵	5	啟用
轉案股別/單位	家	6	啟用
轉案股別/單位	保護科	7	啟用
轉案股別/單位	民團-	8	啟用
轉案股別/單位	民團-大心	9	啟用
轉案股別/單位	民團-台中家防中心	10	啟用
轉案股別/單位	民團-徐月蘭	11	啟用
轉案股別/單位	民團-泰安婦幼	12	啟用
轉案股別/單位	民團-現代婦女基金會	13	啟用
轉案股別/單位	民團-感恩協會	14	啟用
轉案股別/單位	民團-嘉義服務處	15	啟用
轉案股別/單位	民團-嘉義家暴事件服務處	16	啟用
轉案股別/單位	民團-勵馨	17	啟用
轉案股別/單位	民團-勵馨基金會	18	啟用
轉案股別/單位	民團-勵馨親暴	19	啟用
轉案股別/單位	民團-勵馨總會	20	啟用
轉案股別/單位	民團-謙德	21	啟用
轉案股別/單位	民團-警察	22	啟用
轉案股別/單位	民團-蘭馨婦幼中心	23	啟用
服務社工	劉珈佑	1	啟用
服務社工	張雨涵	2	啟用
服務社工	范美鈴	3	啟用
服務社工	湛盈涵	4	啟用
服務社工	蔡均苹	5	啟用
服務社工	彭芮琪	6	啟用
服務社工	賴宛謙	7	啟用
服務方式	面談	1	啟用
服務方式	電談	2	啟用
服務方式	書面	3	啟用
服務方式	電談-聯繫未果	4	啟用
服務主題	暫時	1	啟用
服務主題	通常	2	啟用
服務主題	變更	3	啟用
服務主題	延長	4	啟用
服務主題	撤銷	5	啟用
服務主題	撤回	6	啟用
服務主題	抗告	7	啟用
服務主題	違反	8	啟用
服務主題	追加	9	啟用
服務主題	其他	10	啟用
服務主題	其他-刑事	11	啟用
服務主題	其他-妨害秘密	12	啟用
服務主題	其他-恐嚇	13	啟用
服務主題	其他-責付	14	啟用
服務主題	其他-債務	15	啟用
服務主題	其他-傷害	16	啟用
服務主題	其他-傷害、恐嚇	17	啟用
服務主題	其他-傷害案	18	啟用
服務主題	其他-補發	19	啟用
服務主題	其他-跟騷	20	啟用
服務主題	其他-緊保	21	啟用
服務主題	其他-醫療費	22	啟用
會談處遇	人身安全	1	啟用
會談處遇	初層心諮	2	啟用
會談處遇	情緒支持	3	啟用
會談處遇	澄清迷思	4	啟用
會談處遇	充權	5	啟用
會談處遇	社福資訊	6	啟用
會談處遇	性別概念	7	啟用
會談處遇	其他	8	啟用
法律服務	其他	1	啟用
法律服務	法律知識	2	啟用
法律服務	律師諮詢	3	啟用
法律服務	查詢	4	啟用
法律服務	書狀提供	5	啟用
法律服務	書狀說明	6	啟用
法律服務	程序說明	7	啟用
法律服務	撰狀	8	啟用
法律服務	聲請保護令	9	啟用
法律服務	證物整理	10	啟用
法律服務	提供律師	11	停用
服務項目	陪同出庭	1	啟用
服務項目	諮詢服務	2	啟用
陪同出庭	出庭前評估	1	啟用
陪同出庭	其他	2	啟用
陪同出庭	家長或監護人諮詢協談	3	啟用
陪同出庭	庭前準備	4	啟用
陪同出庭	庭後協助	5	啟用
陪同出庭	陪同出庭	6	啟用
人身安全	人身安全	1	啟用
人身安全	分別報到/退庭	2	啟用
人身安全	叫車	3	啟用
